CompanyName;NIP;ProductName;Category;Country;SalesRep;InvoiceNo;InvoiceDate;Quantity;UnitPrice;Discount
Firma Hurtowa 004;8479902459;BASE ONE PINK 5KG;¯ele;Polska;Anna Nowak;Inv 10477;27.02.2025 00:00;;29,47;0,10
Firma Hurtowa 078;9703905715;PRIMER ACID;Akcesoria;Polska;Anna Nowak;Inv 3812;16.09.2025 00:00;;113,54;0,00
Firma Hurtowa 044;2193448329;FLEXY HYBRID GEL;Lakiery Hybrydowe;Polska;Nowak Anna;Inv 11439;5.08.2025 00:00;7;120;0,10
Firma Hurtowa 049;1240251661;PRIMER ACID;Akcesoria;Polska;Jan Kowalski;Inv 8786;5.03.2025 00:00;10;119,7;0,00
Firma Hurtowa 049;1240251661;FLEXY HYBRID GEL;Lakiery Hybrydowe;Polska;Anna Nowak;Inv 3815;21.02.2025 00:00;10;120;0,00
Firma Hurtowa 049;1240251661;FLEXY HYBRID GEL;Lakiery Hybrydowe;Polska;Nowak Anna;Inv 2678;25.08.2025 00:00;10;120;0,05
Firma Hurtowa 018;3568114320;CUTICLE OIL MANGO;Olejki;Polska;Jan Kowalski;Inv 2341;16.05.2025 00:00;24;199,49;0,10
Firma Hurtowa 021;5533069660;CLEANER UV;Akcesoria;Polska;Jan Kowalski;Inv 2505;18.11.2025 00:00;;57,77;0,00
Firma Hurtowa 056;5974249674;PRIMER ACID;Akcesoria;Polska;Anna Nowak;Inv 1828;31.05.2025 00:00;10;194,66;0,10
Firma Hurtowa 098;8901585274;FLEXY HYBRID GEL;Lakiery Hybrydowe;Polska;Jan Kowalski;Inv 2505;11.07.2025 00:00;32;120;0,10
Firma Hurtowa 009;3799264931;CUTICLE OIL MANGO;Olejki;Polska;Anna Nowak;Inv 1404;6.09.2025 00:00;36;120;0,05
Firma Hurtowa 052;3918046336;CLEANER UV;Akcesoria;Polska;Anna Nowak;Inv 11681;9.06.2025 00:00;29;57,1;0,10
Firma Hurtowa 091;3710566582;BASE ONE CLEAR 5KG;¯ele;Polska;Anna Nowak;Inv 118;6.02.2025 00:00;10;23,46;0,10
Firma Hurtowa 074;4895849088;CUTICLE OIL MANGO;Olejki;Polska;Jan Kowalski;Inv 11852;20.10.2025 00:00;13;120;0,10
Firma Hurtowa 083;8695129534;PRIMER ACID;Akcesoria;Polska;Jan Kowalski;Inv 11033;1.12.2025 00:00;22;57,24;0,10
Firma Hurtowa 010;3363629219;PRIMER ACID;Akcesoria;Polska;Nowak Anna;Inv 7580;8.05.2025 00:00;35;194,11;0,05
Firma Hurtowa 049;1240251661;FLEXY HYBRID GEL;Lakiery Hybrydowe;Polska;Jan Kowalski;Inv 961;26.03.2025 00:00;;120;0,05
Firma Hurtowa 007;6310759305;CLEANER UV;Akcesoria;Polska;Anna Nowak;Inv 5139;30.01.2025 00:00;11;192,55;0,05
Firma Hurtowa 073;9729028480;BASE ONE CLEAR 5KG;¯ele;Polska;Anna Nowak;Inv 6616;3.03.2025 00:00;;120;0,10
