InvoiceNo,InvoiceDate,CompanyName,NIP,ProductName,Category,Quantity,UnitPrice,Discount,Country,SalesRep
INV 10477,27-02-2025,Firma Hurtowa 004,8479902459,Base One Pink 5kg,,,29.47,10%,PL,Anna Nowak
INV 3812,16.09.25,Firma Hurtowa 078,9703905715,Primer Acid,Akcesoria,,113.54,,PL,Anna Nowak
INV 11439,05.08.25,Firma Hurtowa 044,2193448329,Flexy Hybrid Gel,Lakiery Hybrydowe,7,"120,00",0.1,PL,Nowak Anna
INV 8786,05.03.25,Firma Hurtowa 049,,Primer Acid,Akcesoria,dziesięć,119.7,0,Polska,Jan Kowalski
INV 3815,21.02.25,Firma Hurtowa 049,,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,"120,00",0,poland,Anna Nowak
INV 2678,25.08.25,Firma Hurtowa 049,1240251661,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,"120,00",0.05,poland,Nowak Anna
INV 2341,16-05-2025,Firma Hurtowa 018,,Cuticle Oil Mango,,24,199.49,10%,PL,Jan Kowalski
INV 2505,18.11.25,Firma Hurtowa 021,,Cleaner UV,Akcesoria,,57.77,0,Polska,J. Kowalski
INV 1828,2025-05-31,Firma Hurtowa 056,5974249674,Primer Acid,Akcesoria,dziesięć,194.66,10%,Polska,Anna Nowak
INV 2505,2025-07-11,Firma Hurtowa 098,,Flexy Hybrid Gel,,32,"120,00",0.1,poland,Jan Kowalski
INV 1404,06.09.25,Firma Hurtowa 009,,Cuticle Oil Mango,Pielęgnacja,36,"120,00",0.05,poland,Anna Nowak
INV 11681,2025-06-09,Firma Hurtowa 052,,Cleaner UV,Akcesoria,29,57.1,0.1,PL,Anna Nowak
INV 118,06.02.25,Firma Hurtowa 091,3710566582,Base One Clear 5kg,Żele,dziesięć,23.46,0.1,poland,Anna Nowak
INV 11852,20-10-2025,Firma Hurtowa 074,,Cuticle Oil Mango,Pielęgnacja,13,"120,00",0.1,poland,Jan Kowalski
INV 11033,01-12-2025,Firma Hurtowa 083,,Primer Acid,Akcesoria,22,57.24,10%,PL,J. Kowalski
INV 7580,08-05-2025,Firma Hurtowa 010,3363629219,Primer Acid,Akcesoria,35,194.11,0.05,PL,Nowak Anna
INV 961,2025-03-26,Firma Hurtowa 049,,Flexy Hybrid Gel,Lakiery Hybrydowe,,"120,00",0.05,PL,Jan Kowalski
INV 5139,2025-01-30,Firma Hurtowa 007,,Cleaner UV,Akcesoria,11,192.55,0.05,poland,Anna Nowak
INV 6616,2025-03-03,Firma Hurtowa 073,,Base One Clear 5kg,Żele,,"120,00",0.1,Polska,Anna Nowak
